code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,prob
2230,54.11,55.83,54.1,55.6,855946.0,4735820622.79,0.02924842650870052,0.05803996194100858,-0.01014776571123377,0.030820975275771472,3795988275.551,1,2025-10-31,0.9352255962223827
600000,11.72,11.74,11.49,11.49,1435342.0,1657883721.0,-0.012886597938144395,-0.11479198767334364,-0.0756234915526951,0.02339005934971692,1536805787.3,1,2025-10-31,0.8714976341073725
