trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-07-17,600000,0.8582262288444412,3,1,8.73,771657312.0,8.83,8.85,8.63,686395.0,0.008083140877598094,-0.03642384105960261,0.10088272383354369,0.0319255931211294,776071675.15,2020
2020-07-20,2230,0.8687223577869133,1,1,37.17,2152779568.0,37.1,37.22,35.51,579962.0,0.014465065502183405,-0.09297218155197651,0.08115183246073299,0.02531160645508911,2300376576.8,2020
2020-07-20,600000,0.6189986805670096,2,1,8.98,901216624.0,8.78,9.03,8.73,787665.0,0.028636884306987298,-0.015350877192982337,0.1281407035175881,0.03234521003306232,810196826.2,2020
2020-07-21,1,0.9537104637185869,1,1,12.23,1815570304.0,12.42,12.42,12.14,1252866.0,-0.019246190858059342,-0.015297906602254385,0.16034155597722966,0.03870337935988711,3027976487.2,2020
2020-07-21,2230,0.8622479704216189,2,1,37.39,1588806416.0,37.3,37.9,37.0,417313.0,0.005918751681463608,-0.048600508905852324,0.08032360589425025,0.02530822474505262,2326092072.8,2020
2020-07-21,600000,0.7871494686060125,3,1,9.0,632576752.0,9.05,9.07,8.86,550046.0,0.00222717149220486,0.018099547511312153,0.11524163568773238,0.032311426259994336,820702542.2,2020
2020-07-22,1,0.8818691792831957,1,1,12.15,1895447232.0,12.23,12.39,12.01,1312952.0,-0.006541291905151292,0.011656952539550458,0.17052023121387272,0.03847686150498947,3039197684.8,2020
2020-07-22,2230,0.8490272930566186,2,1,37.42,1432752800.0,37.2,37.99,37.0,375167.0,0.0008023535704733131,-0.02041884816753925,0.07128542799885484,0.025289624664324373,2330247175.2,2020
2020-07-22,600000,0.6632528336159085,3,1,9.08,1147395856.0,9.01,9.21,8.96,986876.0,0.008888888888888946,0.05092592592592582,0.13358302122347077,0.03216153022461019,865035889.95,2020
2020-07-23,1,0.9858355338747978,1,1,11.75,2838535216.0,11.98,12.03,11.55,2027526.0,-0.03292181069958855,-0.011774600504625754,0.13636363636363646,0.03950648713667257,3118722113.6,2020
2020-07-23,600000,0.92641578423971,2,1,8.9,937319744.0,9.05,9.05,8.67,868069.0,-0.01982378854625544,0.02771362586605086,0.12090680100755669,0.03253600079571278,901596416.15,2020
2020-07-23,2230,0.9223231717457777,3,1,36.63,1587013088.0,37.1,37.38,35.95,427356.0,-0.021111704970603884,0.005489980785067239,0.0550115207373274,0.025816426618269175,2359128918.4,2020
2020-07-24,1,0.9964671945227158,1,1,11.24,2504647104.0,11.71,11.73,11.16,1830882.0,-0.04340425531914893,-0.05387205387205396,0.0664136622390894,0.04095043027665648,3146638014.4,2020
