trade_date,engine,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-05-12,u2,600000,0.8981745080104351,3,1,7.8,201474588.0,7.9,7.94,7.8,194059.0,-0.011406844106463865,-0.03584672435105063,0.018276762402088753,0.014988041566064167,239169088.8,2020
2020-05-12,u2,1,0.8433414118010751,4,1,11.32,772109504.0,11.48,11.58,11.25,558511.0,-0.018213356461404984,-0.012216404886561949,0.10223953261927954,0.019985299073026444,1147629862.4,2020
2020-05-13,u2,300750,0.9975088405652466,1,1,63.0,1678255888.0,62.48,63.77,62.23,121542.0,-0.006465857120327989,-0.06222089907710637,0.21153846153846145,0.03987514798317602,2660716412.8,2020
2020-05-13,u2,2230,0.9581764832226273,2,1,33.35,584389584.0,33.45,33.46,33.07,171994.0,-0.002989536621823663,0.005729794933655219,-0.04877353108956073,0.016613539244172443,1033305591.2,2020
2020-05-13,u2,1,0.8111048880356551,3,1,11.16,871062048.0,11.28,11.31,11.06,640359.0,-0.014134275618374548,-0.012389380530973493,0.08139534883720922,0.020441711650070794,1148498467.2,2020
2020-05-13,u2,600000,0.7506335692430053,4,1,7.84,160783648.0,7.77,7.85,7.74,155743.0,0.00512820512820511,-0.010101010101010055,0.022164276401564598,0.015016337457147517,238726975.6,2020
2020-05-14,u2,300750,0.9988803273850304,1,1,61.52,1560698256.0,62.77,63.0,61.47,114335.0,-0.023492063492063453,-0.06433460076045627,0.2326187136846325,0.03892410678393519,2667136728.8,2020
2020-05-14,u2,2230,0.9648790241472646,2,1,33.19,500046192.0,33.21,33.58,33.17,147022.0,-0.004797601199400425,-0.000301204819277312,-0.030382705229330953,0.01585834924227121,1012820433.6,2020
2020-05-14,u2,1,0.8672144496963602,3,1,10.83,1259440848.0,11.08,11.12,10.75,944672.0,-0.029569892473118253,-0.03475935828877008,0.07015810276679857,0.02117211261874482,1183370107.2,2020
2020-05-14,u2,600000,0.8611165456686101,4,1,7.76,163558192.0,7.78,7.82,7.73,158924.0,-0.010204081632653073,-0.01146496815286624,0.02509907529722577,0.014887719163914145,240839111.7,2020
2020-05-15,u2,2230,0.9761093233910613,1,1,32.72,960023968.0,33.24,33.34,32.39,286855.0,-0.01416089183489,-0.025320226392612444,-0.04800698283386673,0.01604844412569862,991712830.4,2020
2020-05-15,u2,1,0.8886354759678775,2,1,10.76,1004313264.0,10.92,10.96,10.67,756794.0,-0.006463527239150557,-0.06271777003484325,0.03561116458132818,0.02055933234092024,1189842942.4,2020
2020-05-15,u2,600000,0.8605304619865815,3,1,7.74,141846602.0,7.82,7.84,7.72,137538.0,-0.002577319587628857,-0.020253164556962022,0.0038910505836575737,0.014345915674114024,238871840.45,2020
2020-05-15,u2,300750,0.09374483428617907,4,1,67.01,4605864448.0,63.93,68.24,63.39,322121.0,0.08923927178153446,0.011777140268760311,0.19065387348969454,0.03344095335448787,2657248050.4,2020
2020-05-18,u2,300750,0.9955710445187665,1,1,64.97,2287442336.0,66.75,66.75,63.8,160889.0,-0.03044321743023437,0.03703112529928165,0.13385689354275754,0.03451168005183647,2560288096.0,2020
2020-05-18,u2,2230,0.9814876672039315,2,1,32.52,885898784.0,32.74,33.08,32.19,265789.0,-0.006112469437652646,-0.03900709219858156,-0.04381064392825629,0.015961410131713285,989173871.2,2020
2020-05-18,u2,1,0.91944799801356,3,1,10.73,843479664.0,10.73,10.87,10.65,637209.0,-0.0027881040892192566,-0.06938421509106674,0.03173076923076934,0.020585899311995004,1189834461.6,2020
2020-05-18,u2,600000,0.7836853737540163,4,1,7.78,162140715.0,7.74,7.89,7.71,156759.0,0.0051679586563306845,-0.013941698352344711,0.01832460732984309,0.014209239813352606,239364643.25,2020
2020-05-19,u2,300750,0.9878605760616949,1,1,65.78,1499320592.0,65.75,67.19,65.37,104252.0,0.012467292596582968,0.03737580823214004,0.09542048293089089,0.033171281851534305,2493485273.6,2020
2020-05-19,u2,600000,0.7538029979842003,2,1,7.81,130445254.0,7.91,7.91,7.8,125770.0,0.00385604113110527,0.0012820512820512775,0.02493438320209962,0.014196147665402708,238588413.3,2020
2020-05-19,u2,1,0.721991531168169,3,1,10.89,801755664.0,10.94,10.98,10.8,600369.0,0.01491146318732528,-0.03798586572438156,0.06660137120470133,0.02022036904998269,1180041053.6,2020
2020-05-19,u2,2230,0.4135955986074123,4,0,33.93,1653451472.0,32.92,33.95,32.77,480879.0,0.043357933579335706,0.014349775784753271,0.006227758007117501,0.01882438891246847,1022641878.4,2020
2020-05-20,u2,2230,0.8757612572762765,1,1,33.59,1105099216.0,33.87,34.23,33.42,319981.0,-0.010020630710285805,0.007196401799100416,-0.010020630710285805,0.018913580963729082,1021885816.8,2020
2020-05-20,u2,600000,0.6535993755455309,2,1,7.87,208195248.0,7.83,7.88,7.79,200463.0,0.00768245838668391,0.003826530612244916,0.02741514360313313,0.01424188436993303,237408726.3,2020
2020-05-20,u2,1,0.561052932984098,3,1,11.04,929928880.0,10.91,11.15,10.8,690851.0,0.013774104683195398,-0.010752688172043112,0.05950095969289815,0.01997269599171252,1140876709.6,2020
2020-05-20,u2,300750,0.041696821645589445,4,1,69.13,5027432192.0,69.52,72.52,68.97,329693.0,0.050927333536029185,0.09730158730158722,0.11016540870403069,0.03401362676776123,2543646937.6,2020
