trade_date,daily_ret,avg_prob,n,label_hit_any
2020-05-07,-0.004903919079490366,0.7162594686139099,3,1
2020-05-08,0.00875700253242255,0.6801622455818477,2,1
2020-05-11,0.0033885363287744995,0.76964609093892,2,1
2020-05-12,-0.0137150077543014,0.8997677031264112,3,1
2020-05-13,-0.003998535703997667,0.8399716468337625,3,1
2020-05-14,-0.014857191768390532,0.897736673170745,3,1
2020-05-15,-0.0077339128872231,0.9084250871151734,3,1
2020-05-18,-0.0012442049568470665,0.8948736796571692,3,1
2020-05-19,0.0093837521592152,0.7378972645761847,2,1
2020-05-20,0.0038119774531978,0.6968045219353018,3,1
2020-05-21,-0.0208011462714027,0.8852977832449325,3,1
2020-05-22,-0.02763865229493043,0.9594974744669552,3,1
2020-05-25,-0.001960288590705267,0.8428679851510705,3,1
2020-05-26,0.0095653342768369,0.8912551394752452,3,1
2020-05-27,-0.0031026741872077334,0.8768519503952148,3,1
2020-05-28,0.0019354838709677,0.9579757848857346,1,1
2020-05-29,-0.00017914656541930018,0.8741315694448022,2,1
2020-06-02,0.0105459057071959,0.653206550081526,1,1
2020-06-04,-0.00611847303023765,0.7633943785658037,2,1
2020-06-05,0.00211116716299705,0.7084524883241408,2,1
2020-06-08,0.0027065536611261,0.7059281714969021,3,1
2020-06-09,0.002646519466659133,0.7293807801150831,3,1
2020-06-10,-0.014030323846274801,0.7553679718350458,2,1
2020-06-11,-0.021975192722312267,0.6984316087132844,3,1
2020-06-12,-0.0035734847861752504,0.6655002694596064,2,1
2020-06-15,-0.0212064120647085,0.9246302187592884,3,1
2020-06-16,0.0097164425949637,0.6819496998543655,2,1
2020-06-17,-0.00012054528323523327,0.8053456622922792,3,1
2020-06-18,-0.0017656255914947332,0.6722207468080122,3,1
2020-06-19,0.0066899360093075,0.7742813770206011,1,1
2020-06-23,-0.0062015549167029,0.7269983852796535,3,1
2020-06-29,-0.0072807197822887,0.6126487587318643,2,1
2020-06-30,0.0012453300124533,0.6577638028184171,1,1
2020-07-09,-0.015625,0.5888492739261952,1,1
2020-07-10,-0.0407141476887242,0.8808691461746813,3,1
2020-07-13,0.00450173446862175,0.9027492741170244,2,1
2020-07-14,-0.0294414801280776,0.9692946812962827,3,1
2020-07-15,-0.027875176137932833,0.9796075408677893,3,1
2020-07-16,-0.0180039791081819,0.9755447623097453,3,1
2020-07-17,0.0043355259362437,0.9025928056719356,3,1
2020-07-20,0.0215509749045853,0.7438605191769614,2,1
2020-07-21,-0.0037000892281303,0.8677026342487394,3,1
2020-07-22,0.0010499835180703332,0.7980497686519076,3,1
2020-07-23,-0.02461910140548257,0.9448581632867619,3,1
2020-07-24,-0.04184643383304626,0.9900269556130844,3,1
2020-07-27,-0.009675966337653033,0.9616202523104646,3,1
2020-07-28,0.004298124840556434,0.9454900099620112,3,1
2020-07-29,0.0216733621767064,0.8152607886459672,3,1
2020-07-30,-0.0177813437753555,0.9753740847311952,3,1
2020-07-31,0.0011724765830657669,0.8709317061491967,3,1
2020-08-03,0.0059382422802851,0.7094736156794754,1,1
2020-08-04,-0.0075370121130552,0.8577622165431312,1,1
2020-08-05,-0.014109017038567033,0.9268604930465999,3,1
2020-08-06,0.0072538176652630505,0.7289725764424979,2,1
2020-08-07,-0.015819581575621865,0.8687264281592334,3,1
2020-08-10,0.011442003966010734,0.7320883775077375,3,1
2020-08-11,-0.008288820821790133,0.9218146758884073,3,1
2020-08-12,-0.0002539460493481997,0.755777161217231,2,1
2020-08-13,-0.005290714984722066,0.8488998539524729,3,1
2020-08-17,0.0145310435931307,0.7413185410539452,1,0
2020-08-18,-0.010295004468022834,0.7556297128354234,3,1
2020-08-19,-0.011890348988389534,0.7934219609683443,3,1
2020-08-20,-0.021779004563324766,0.8797799706263532,3,1
