code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score,weight
600000,6.3,6.3,6.18,6.21,438733.0,319838541.0,-0.011146496815286677,-0.014285714285714235,-0.049004594180704464,0.008313859109305235,201974552.3,1,2022-07-29,-0.012895603811141597,0.3333333333333333
1,11.03,11.05,10.8,10.83,831497.0,1059518584.72,-0.01813236627379866,-0.011861313868613221,-0.15654205607476634,0.017233940456854998,1528849018.563,1,2022-07-29,-0.018948252433282454,0.3333333333333333
2230,42.71,42.84,41.62,41.74,124158.0,527502314.74,-0.025221858944418418,0.020039100684261957,0.021536955457660323,0.02061556949813908,681977404.303,1,2022-07-29,-0.03300729139980831,0.3333333333333333
