trade_date,daily_return,equity,n_selected,year
2020-06-04,0.0010996154655653068,1.0010996154655654,4,2020
2020-06-05,0.004350497303547973,1.0054548966432313,4,2020
2020-06-08,0.00242104026362297,1.0078891434312613,4,2020
2020-06-09,0.007061572360573726,1.0150064255490379,4,2020
2020-06-10,0.012056027443142353,1.0272433708704227,4,2020
2020-06-11,-0.002679595196041773,1.0244907744686726,4,2020
2020-06-12,-0.007979560118848289,1.0163157887425944,4,2020
2020-06-15,-0.018879010358516718,0.9971287524393989,4,2020
2020-06-16,0.016293748666581953,1.0133757177198688,4,2020
2020-06-17,-0.004146260026256177,1.0091739984899082,4,2020
2020-06-18,0.0008385274946730858,1.0100202186345513,4,2020
2020-06-19,0.01901182858551259,1.0292225498991332,4,2020
2020-06-22,-0.0049350942871838055,1.0241432395728853,4,2020
2020-06-23,-0.006201554916702934,1.017791959030104,3,2020
2020-06-24,0.0235820108248271,1.041793540025374,3,2020
2020-06-29,-0.0048538131881924835,1.0367368688014251,3,2020
2020-06-30,0.012028859184632479,1.0492076306077542,3,2020
2020-07-01,0.014853051783007701,1.064791565876298,3,2020
2020-07-02,0.01811986956907516,1.084085450168228,4,2020
2020-07-03,0.024028967390498812,1.1101349040988344,4,2020
2020-07-06,0.08995621860563079,1.2099984422136902,3,2020
2020-07-07,0.0005177653442417496,1.2106249374736548,3,2020
2020-07-08,0.012543803136667808,1.2258107783616652,3,2020
2020-07-09,0.0012624187643300866,1.227358264889787,3,2020
2020-07-10,-0.04071414768872424,1.1773874192260878,3,2020
2020-07-13,0.006702118562599502,1.1852784093038542,3,2020
2020-07-14,-0.02944148012807768,1.1503820585700952,3,2020
2020-07-15,-0.02787517613793289,1.118314956061536,3,2020
2020-07-16,-0.018003979108181894,1.0981808369562367,3,2020
2020-07-17,0.004335525936243719,1.1029420284575462,3,2020
2020-07-20,0.030921749824156814,1.1370469259320584,3,2020
2020-07-21,-0.0037000892281302913,1.1328397508495385,3,2020
2020-07-22,0.0010499835180703225,1.1340292139165455,3,2020
2020-07-23,-0.024619101405482624,1.1061104337023544,3,2020
2020-07-24,-0.041846433833046315,1.0598236566263866,3,2020
2020-07-27,-0.009675966337653072,1.0495688386010211,3,2020
2020-07-28,0.004298124840556472,1.0540800164980861,3,2020
2020-07-29,0.021673362176706457,1.0769254744588779,3,2020
2020-07-30,-0.017781343775355524,1.0577762923770866,3,2020
2020-07-31,0.0011724765830657402,1.0590165103100209,3,2020
2020-08-03,0.019957626491808506,1.0801519662714467,3,2020
2020-08-04,0.020565496827733676,1.1023658281072723,3,2020
2020-08-05,-0.014109017038567115,1.0868125298557727,3,2020
2020-08-06,0.016423783567535526,1.1046621036246098,3,2020
