code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score,weight
600000,6.18,6.24,6.15,6.18,232984.0,169134999.0,-0.006430868167202619,0.004878048780487809,0.023178807947019875,0.008597154370917735,138972151.3,0,2022-09-01,-0.006600669736351304,0.3333333333333333
2230,37.05,37.64,36.84,36.87,82137.0,308662543.11,-0.008604463565474618,-0.007002423915971057,-0.09521472392638042,0.01614365740487414,533871942.107,1,2022-09-01,-0.008393616895635073,0.3333333333333333
1,10.8,10.94,10.73,10.76,861982.0,1092666276.97,-0.012844036697247763,-0.0009285051067781103,0.04364694471386987,0.017042375847729548,1294247326.602,0,2022-09-01,-0.013865914187173797,0.3333333333333333
