code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score,weight
1,12.94,13.22,12.89,13.09,657133.0,1007999040.0,0.0038343558282210033,-0.0060744115413818855,0.015515903801396336,0.02246107871429744,1695962246.4,1,2020-09-15,0.003049366103337784,0.3333333333333333
2230,34.44,34.59,34.11,34.5,130300.0,456062112.0,0.002033110659308779,-0.034965034965035,-0.09162717219589245,0.01842808563964689,1120893368.0,1,2020-09-15,0.002191065914941231,0.3333333333333333
600000,7.97,7.98,7.91,7.92,466015.0,459933680.0,-0.005025125628140725,-0.023427866831072675,-0.09485714285714286,0.0064870632558734235,485111787.2,1,2020-09-15,-0.004705534548611794,0.3333333333333333
