date,ret,n_trades,cash_weight,n_signals,equity
2020-07-02,-0.0045511066898781295,1,0.7,1,0.9954488933101219
2020-07-03,0.00083333333333331,1,0.7,1,0.9962784340545469
2020-07-10,-0.026999999999999996,3,0.10000000000000009,3,0.9693789163350741
2020-07-13,0.00270104068117305,2,0.4,2,0.9719972482235665
2020-07-14,-0.022988123515439426,3,0.10000000000000009,3,0.9496528554247359
2020-07-15,-0.02418427688162748,3,0.10000000000000009,3,0.926686187827716
2020-07-16,-0.01130305763715426,3,0.10000000000000009,3,0.9162118004351445
2020-07-17,0.00390197334261933,3,0.10000000000000009,3,0.9197868344566357
2020-07-20,0.01293058494275118,2,0.4,2,0.9316802162488015
2020-07-21,-0.00333008030531727,3,0.10000000000000009,3,0.9285776463098177
2020-07-22,0.0009449851662632995,3,0.10000000000000009,3,0.9294551384113041
2020-07-23,-0.02128064805505776,3,0.10000000000000009,3,0.9096757307278082
2020-07-24,-0.026999999999999996,3,0.10000000000000009,3,0.8851144859981573
2020-07-27,-0.00870836970388773,3,0.10000000000000009,3,0.8774065818238188
2020-07-28,0.00386831235650079,3,0.10000000000000009,3,0.8808006645459631
2020-07-29,0.019506025959035764,3,0.10000000000000009,3,0.8979815851733326
2020-07-30,-0.016003209397819948,3,0.10000000000000009,3,0.8836109978304174
2020-07-31,0.0010552289247591903,3,0.10000000000000009,3,0.8845434097135634
2020-08-03,0.0017814726840855298,1,0.7,1,0.886119199635856
2020-08-04,-0.00226110363391656,1,0.7,1,0.8841155922934761
2020-08-05,-0.012698115334710328,3,0.10000000000000009,3,0.8728889905333178
2020-08-06,0.00435229059915783,2,0.4,2,0.8766880570809242
2020-08-07,-0.014237623418059678,3,0.10000000000000009,3,0.8642061026690956
2020-08-10,0.01029780356940966,3,0.10000000000000009,3,0.8731055273578671
2020-08-11,-0.006128918985206459,3,0.10000000000000009,3,0.8677543343151547
2020-08-12,-0.0033176665745092196,1,0.7,1,0.8648754147653117
2020-08-13,-0.004761643486249859,3,0.10000000000000009,3,0.8607571863801768
2020-08-17,0.00435931307793921,1,0.7,1,0.864509496439694
2020-08-18,-0.009265504021220549,3,0.10000000000000009,3,0.8564993802240487
2020-08-19,-0.01070131408955058,3,0.10000000000000009,3,0.8473337113387658
2020-08-20,-0.016685216256525,3,0.10000000000000009,3,0.8331957651236346
2020-08-21,-0.00340632603406326,1,0.7,1,0.8303576286974227
2020-08-24,-0.006018510893505059,3,0.10000000000000009,3,0.8253601122636023
2020-08-25,-0.0011493489237310499,2,0.4,2,0.8244114855068816
2020-08-26,-0.01640538875494758,3,0.10000000000000009,3,0.8108866945930974
2020-08-27,0.00098549137695045,1,0.7,1,0.8116858164383027
2020-08-28,0.00221009549795361,1,0.7,1,0.8134797196069659
2020-08-31,-0.00213976164680388,2,0.4,2,0.8117390669024981
2020-09-01,0.0029251887141055507,2,0.4,2,0.8141135568597998
2020-09-02,-0.00546162970668822,2,0.4,2,0.8096671700730368
2020-09-03,-0.01869045484028517,3,0.10000000000000009,3,0.7945341223951252
2020-09-04,-0.0024571922458865095,3,0.10000000000000009,3,0.7925817993104837
2020-09-07,-0.01035551201308566,3,0.10000000000000009,3,0.7843742089663709
2020-09-08,0.0025387870239773997,1,0.7,1,0.7863655680300373
2020-09-09,-0.015491044268865687,3,0.10000000000000009,3,0.7741839442041722
2020-09-10,-0.00457247985872091,2,0.4,2,0.7706440037123535
2020-09-11,-0.006332058222841769,2,0.4,2,0.765764241011763
2020-09-14,0.00290322580645155,1,0.7,1,0.7679874275179261
2020-09-15,0.0017602399462589098,2,0.4,2,0.7693392696660678
2020-09-16,0.0024974258478094196,2,0.4,2,0.7712606374438666
2020-09-17,-0.00086830680173655,1,0.7,1,0.7705909465864624
2020-09-21,-0.004561911658218659,1,0.7,1,0.767075578763512
2020-09-22,-0.01886854007339457,3,0.10000000000000009,3,0.7526019824662903
2020-09-23,-0.0025316654972022596,2,0.4,2,0.7506966459941543
2020-09-24,-0.018868033084343847,3,0.10000000000000009,3,0.7365324768412307
2020-09-25,0.0010628783078021399,3,0.10000000000000009,3,0.737315321233857
2020-09-28,-0.0017710232593244398,3,0.10000000000000009,3,0.7360095186504956
2020-09-29,-0.006250620169831139,3,0.10000000000000009,3,0.7314090027080311
2020-09-30,0.0069041975092510805,2,0.4,2,0.7364587949227717
2020-10-09,0.00023237800154916,1,0.7,1,0.7366299317457592
2020-10-16,-0.00195744680851062,1,0.7,1,0.7351880178368101
2020-10-19,-0.00231296402055969,1,0.7,1,0.7334875544032069
2020-10-20,-0.0006517929625171497,2,0.4,2,0.733009472377153
2020-10-21,-0.00711631894827096,1,0.7,1,0.7277931431796134
2020-10-22,-0.00881789889454344,3,0.10000000000000009,3,0.7213755368269136
2020-10-23,8.787346221438e-05,1,0.7,1,0.7214389265928912
2020-10-26,-0.011994523804883701,2,0.4,2,0.712785610214103
2020-10-27,-0.00353393579458593,2,0.4,2,0.7102666716323016
2020-10-28,-0.00569915290493706,2,0.4,2,0.7062187532673884
2020-10-29,0.0015261616498139703,2,0.4,2,0.7072965572450044
2020-10-30,-0.00482830076197956,2,0.4,2,0.7038815167387128
2020-11-02,-0.00273391611721998,2,0.4,2,0.7019571637154876
2020-11-03,0.00205198358413137,1,0.7,1,0.7033975682921951
2020-11-04,0.00163043478260865,1,0.7,1,0.704544412153541
2020-11-05,-0.00818918918918922,2,0.4,2,0.6987747646702296
2020-11-06,-0.00116580310880826,1,0.7,1,0.6979601308772203
2020-11-10,-0.00270072992700732,1,0.7,1,0.6960751290639022
2020-11-11,-0.01467823343848575,2,0.4,2,0.6858579758287782
