top_k,min_prob,min_price,max_price,min_amount,position_weight,stop_loss,take_profit,n_years,n_days,total_return,ann_return_overall,ann_return_mean,ann_vol_mean,sharpe_mean,max_drawdown_min,win_ratio_mean
2,0.55,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9404984387113443,-0.4427666155833683,-0.44624779860552494,0.11678962419264804,-3.8843453255302873,-0.5168321757454485,0.35240128064277165
2,0.6,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9404984387113443,-0.4427666155833683,-0.44624779860552494,0.11678962419264804,-3.8843453255302873,-0.5168321757454485,0.35240128064277165
2,0.65,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1202,-0.9418122317395233,-0.4491336466308633,-0.45326095707137076,0.11596066931359801,-3.985235255506528,-0.5150037020018481,0.3481693829431147
2,0.55,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9439859086790374,-0.4496980088934577,-0.4531848455721877,0.11472549123965776,-3.9958745245968914,-0.517485183265305,0.35240128064277165
2,0.6,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1216,-0.9439859086790374,-0.4496980088934577,-0.4531848455721877,0.11472549123965776,-3.9958745245968914,-0.517485183265305,0.35240128064277165
2,0.65,3.0,80.0,20000000.0,0.3,0.03,0.06,6,1202,-0.9452226984550276,-0.4560651458428363,-0.4601907983178572,0.11387036369630493,-4.098699932158628,-0.5156591807274526,0.3481693829431147
3,0.55,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9626176841188205,-0.49393785580782656,-0.49356432568067565,0.13214823295830175,-3.730219319979945,-0.5668325448440663,0.35660352170157056
3,0.6,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9626176841188205,-0.49393785580782656,-0.49356432568067565,0.13214823295830175,-3.730219319979945,-0.5668325448440663,0.35660352170157056
4,0.6,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9626176841188205,-0.49393785580782656,-0.49356432568067565,0.13214823295830175,-3.730219319979945,-0.5668325448440663,0.35660352170157056
4,0.55,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1216,-0.9626176841188205,-0.49393785580782656,-0.49356432568067565,0.13214823295830175,-3.730219319979945,-0.5668325448440663,0.35660352170157056
3,0.55,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
4,0.6,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
4,0.55,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
2,0.55,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
2,0.6,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
3,0.6,3.0,80.0,20000000.0,0.35,0.03,0.08,6,1216,-0.9630976090485297,-0.4952911723987271,-0.49690714510895445,0.13625456155808943,-3.7062342041545677,-0.5726830748774332,0.35240128064277165
4,0.65,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1202,-0.9630473578576431,-0.49915188437787406,-0.4994933486341371,0.1299707709435192,-3.852374209122343,-0.5584381452015444,0.3520547018425888
3,0.65,3.0,80.0,20000000.0,0.3,0.03,0.08,6,1202,-0.9630473578576431,-0.49915188437787406,-0.4994933486341371,0.1299707709435192,-3.852374209122343,-0.5584381452015444,0.3520547018425888
