strategy_id,fold_index,test_start,test_end,n_days,total_return,annual_return,volatility,sharpe,max_drawdown,max_drawdown_peak,max_drawdown_valley,win_ratio
U2,0,2020-04-30,2020-05-19,11.0,-0.011986138965999538,-0.2413770998238377,0.21010531984626898,-1.1488385919997164,-0.03907291188121598,1.0204866778899502,0.9806132918488013,0.36363636363636365
U2,1,2020-05-20,2020-06-08,14.0,0.01553508465300113,0.3198019803921519,0.23166149731145105,1.3804710066351802,-0.04890600161185954,1.0154408164739057,0.9657796662666849,0.7142857142857143
U2,2,2020-06-09,2020-06-24,12.0,0.03375660575795991,1.0080949889839328,0.19431043855653016,5.188063989113229,-0.029315953049671495,1.0190509259097704,0.9891764768105753,0.5833333333333334
U2,3,2020-06-29,2020-07-17,15.0,0.10709173741351075,4.524393932054958,0.4994633410924583,9.058510524834341,-0.08962764137774215,1.2084745181520284,1.1001617974249587,0.6666666666666666
U2,4,2020-07-20,2020-08-07,15.0,-0.03333437394844363,-0.43422802520147674,0.34791313037459537,-1.24809323733757,-0.07803411080145928,1.038735076057222,0.9576783080388106,0.5333333333333333
U2,5,2020-08-10,2020-08-27,14.0,0.008350542050092224,0.16146907169022673,0.24888337292865767,0.6487740413921174,-0.044230179309285966,1.0397173077678001,0.9937304248142623,0.5
U2,6,2020-08-28,2020-09-16,14.0,-0.04878401241230612,-0.5935337043187157,0.24724494819932644,-2.400589814438654,-0.07345199827756077,1.0325438501885196,0.9567014410829665,0.35714285714285715
U2,7,2020-09-17,2020-09-30,10.0,-0.011236519864682881,-0.2478076380800085,0.20500043200618284,-1.2088151993383829,-0.049278016835214045,1.0261640042344176,0.9755966771580633,0.6
U2,8,2020-10-09,2020-10-26,12.0,0.06319152672484907,2.621109369520788,0.2190925856715452,11.963478186570175,-0.014469499423079624,1.10535845928067,1.0893644756918122,0.6666666666666666
U2,9,2020-10-27,2020-11-13,14.0,0.05149000382496993,1.4688384368131615,0.21777941696166317,6.744615525679953,-0.025199405779166018,1.0835754600222558,1.0562700023128084,0.7857142857142857
U2,10,2020-11-16,2020-12-04,15.0,0.02779208986505166,0.5849244004843592,0.18780847686808447,3.114472840835649,-0.03485768380526455,1.0483675509593686,1.0118238863563274,0.6
U2,11,2020-12-07,2020-12-25,15.0,0.023110603556291798,0.46791003799173003,0.22423070459246838,2.0867349047586523,-0.03169709556787492,1.0566600994719173,1.0231670433161957,0.5333333333333333
U2,12,2020-12-28,2021-01-14,13.0,0.13319990613586485,10.290448510221374,0.31146074457120065,33.039311340466384,-0.02777986915441133,1.1740032847130204,1.1413896270768435,0.5384615384615384
U2,13,2021-01-15,2021-02-03,14.0,0.07069014066854895,2.419388633760736,0.2970897819574353,8.143627888580049,-0.04509982064793794,1.0943784204819829,1.0450221499972718,0.7857142857142857
U2,14,2021-02-04,2021-02-23,9.0,0.03771167213067561,1.8193412603198813,0.31534010681483693,5.769457233640666,-0.04931361500925502,1.0746115748113922,1.021618593326654,0.5555555555555556
U2,15,2021-02-24,2021-03-15,14.0,-0.04131128569570508,-0.5320525684711008,0.42981106116483014,-1.237875467953724,-0.08474505373561592,0.9653738292288484,0.8835631721958923,0.42857142857142855
U2,16,2021-03-16,2021-04-02,14.0,0.01675378242049974,0.3486036803436934,0.36750350890416594,0.9485723861063838,-0.06929994138951945,1.0173752243724565,0.946871180952296,0.5714285714285714
U2,17,2021-04-06,2021-04-23,14.0,0.05947583073668872,1.8290392241591467,0.3022129018170197,6.052154666998868,-0.04002886803734862,0.9966848979624863,0.9567887297071276,0.5
U2,18,2021-04-26,2021-05-14,12.0,0.0309850698469063,0.8980161281536616,0.25946763253023747,3.4609948046179126,-0.03519251545451463,1.0192803433787452,0.9834093041419057,0.5
U2,19,2021-05-17,2021-06-03,14.0,0.05728160291240725,1.725411957459765,0.2819824753056433,6.118862371108615,-0.031336504316901936,1.1059131713957115,1.0712577185261511,0.5
U2,20,2021-06-04,2021-06-23,13.0,0.027643813756843993,0.6965414808108847,0.23407929975314215,2.975664578394804,-0.03517665785677171,1.0304564468917876,0.9942084330231705,0.5384615384615384
U2,21,2021-06-24,2021-07-13,14.0,0.01968543015967339,0.4203384704384896,0.26299570293716107,1.598271248328811,-0.036425349223579984,1.0398714288001796,1.00199374885851,0.5
U2,22,2021-07-14,2021-08-02,14.0,-0.0447531580863596,-0.5613875143956397,0.40742203040214925,-1.3779017149404453,-0.10725420420464538,1.0068036321090443,0.8988197097568422,0.42857142857142855
U2,23,2021-08-03,2021-08-20,14.0,-0.022528969552295774,-0.3364554150001915,0.22076547151014575,-1.5240400262716307,-0.04624717019973701,1.001169218575074,0.9548679753248949,0.42857142857142855
U2,24,2021-08-23,2021-09-10,15.0,0.010817140369514089,0.19811812995965883,0.24876439162951003,0.7964087169465969,-0.054921896208739995,1.0212462543427552,0.9651574735581779,0.4666666666666667
U2,25,2021-09-13,2021-09-30,12.0,-0.02691620668621797,-0.43616110857908097,0.16711682979626008,-2.6099173201814883,-0.053697660061840624,0.9932705606471252,0.939934255732062,0.3333333333333333
U2,26,2021-10-08,2021-10-21,10.0,0.03790805807524533,1.5538998927643792,0.22336527732412126,6.956765668235639,-0.012522146737474316,1.0330482079497045,1.0201122267028735,0.7
U2,27,2021-10-22,2021-11-10,14.0,-0.013712257391679805,-0.220052366037931,0.14797019562446043,-1.4871397926404777,-0.03602262380326926,1.0282243184865856,0.9911849806763704,0.5714285714285714
