code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score
2230,42.21,43.08,41.89,42.45,500247.0,2153506896.0,0.007117437722420128,0.05413459150732547,0.13502673796791465,0.026153543362779683,1672184245.6,1,2021-01-08,0.0073469818136136286
600000,7.89,7.96,7.79,7.89,558015.0,547035200.0,0.0025412960609909607,0.019379844961240345,0.0012690355329949554,0.010138241285553963,438462793.15,0,2021-01-08,0.00282445962683078
1,17.64,17.84,17.05,17.59,1195473.0,2348316368.0,-0.0028344671201814275,0.029859484777517764,0.07321537522879806,0.02956609102890502,1970978184.8,1,2021-01-08,-0.0025421626971534974
