year,n_days,total_return,ann_return,ann_vol,sharpe,win_ratio,max_drawdown,avg_positions
2020,147.0,-0.5575912839668187,-0.7501615306703654,0.1887057121301145,-3.9752984803826257,0.3673469387755102,-0.5645599846959339,2.306122448979592
2021,233.0,-0.7231902458566947,-0.7479526256181677,0.3109041095667756,-2.4057341238119703,0.3218884120171674,-0.7172477063196824,1.944206008583691
2022,233.0,-0.6797696535628693,-0.7052998554190366,0.24809605931855844,-2.842849891917964,0.3261802575107296,-0.7046566656825568,2.0643776824034337
2023,218.0,-0.6671422673362178,-0.7167750687814113,0.2305582422611792,-3.1088676845889536,0.3165137614678899,-0.6745350087230056,2.022935779816514
2024,229.0,-0.5087098589925376,-0.5397086594725153,0.23451290644560857,-2.3014027997546136,0.4279475982532751,-0.4959301425200364,2.1615720524017465
2025,181.0,-0.5076197804824731,-0.6241618813796278,0.2112379254648305,-2.954781344335565,0.35911602209944754,-0.5306669953272937,1.9834254143646408
