code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score
1,12.55,12.89,12.52,12.63,1665425.0,2417272355.99,0.012830793905372895,0.1186891054030117,0.11769911504424768,0.02510763060191842,1441912258.306,1,2023-01-05,0.01453557951634145
2230,33.95,34.19,33.78,34.12,157611.0,540764146.82,0.00797636632200871,0.055366532632230125,0.015476190476190421,0.020775166176580838,481838866.63699996,0,2023-01-05,0.007767477782637653
600000,6.32,6.33,6.25,6.3,301622.0,221617355.0,0.006389776357827559,0.008000000000000007,0.0015898251192367763,0.012011616337095691,166937702.1,0,2023-01-05,0.006499084051168121
