code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u2_range_pct,u2_oc_ret,u2_high_close_gap,u2_close_low_gap,u2_gap_ret,u2_mom_3,u2_mom_10,u2_ret_std_5,u2_ret_std_10,u2_ret_std_20,u2_amt_z_5,u2_vol_z_5,u2_amt_z_20,u2_vol_z_20,u2_down_vs_up_vol_20,u1_score,weight
2230,36.74,38.56,36.45,38.37,341253.0,1302781856.0,0.0506571741511499,0.11024305555555536,0.06170448256779193,0.02057272401956726,607232280.8,0,2022-06-06,0.054990878290330975,0.044365813826891545,0.00495178524889249,0.050039093041438484,0.006024096385542137,0.06701890989988857,0.07478991596638629,0.018144601238899737,0.026207941723837162,0.02057272401956719,1.7425994933272797,1.7225940531259514,3.5329397376656555,3.416905448568887,1.035329976211024,0.03658054093026734,0.3333333333333333
1,11.83,12.09,11.56,12.09,1710852.0,2370807616.0,0.018534119629317614,-0.0008264462809917106,-0.06133540372670809,0.017492704381442195,1237709052.8,1,2022-06-06,0.043837882547559916,0.02197802197802196,0.0,0.043837882547559916,-0.0033698399326031296,0.0008278145695364003,-0.06568778979907264,0.01242401138448733,0.014100410131233261,0.017492704381442195,1.772289850727428,1.7716516427381632,3.44757325585074,3.504157954973589,1.106211941450222,0.02121529359322917,0.3333333333333333
600000,6.41,6.44,6.36,6.4,330105.0,259403167.0,-0.004665629860031051,-0.021406727828746086,0.0015649452269170805,0.011771567291862557,202403258.9,1,2022-06-06,0.012500000000000011,-0.0015600624024960665,0.0062500000000000056,0.0062500000000000056,-0.0031104199066873364,-0.012345679012345734,-0.027355623100303927,0.009813892857868019,0.010311708304580723,0.011771567291862472,0.6391094835510559,0.6614393995850434,1.077022744016272,1.1218575909191222,0.7188882484040722,-0.005010605968474668,0.3333333333333333
