code,open,high,low,close,volume,amount,ret_1,ret_5,ret_20,vol_20,amt_mean_20,label_u2,trade_date,u1_score,weight
1,10.58,10.59,10.47,10.49,688414.0,851165593.52,-0.014097744360902276,-0.02599814298978642,-0.05919282511210766,0.020517488040489886,1549466933.902,1,2023-05-19,-0.015100588698993726,0.3333333333333333
2230,60.52,61.5,59.33,59.62,484275.0,2934743884.6,-0.020857283626211198,-0.05274864950746738,0.002690884628321566,0.05491855329428525,6070732013.5529995,1,2023-05-19,-0.025699561786108088,0.3333333333333333
600000,6.62,6.62,6.47,6.49,350725.0,265388166.0,-0.02111613876319751,-0.0121765601217656,0.0,0.01863816996824446,458550701.95,1,2023-05-19,-0.02622351904228899,0.3333333333333333
