trade_date,code,rank,u1_score,ret_1
2020-07-16,2,3,-0.0386386932630308,
2020-07-17,0,1,0.0111107545233373,
2020-07-17,1,2,0.0062774150697786,-0.000841042893187538
2020-07-17,2,3,0.0009023056866564,
2020-07-20,0,1,0.0384331309378214,
2020-07-20,1,2,0.03837971067959,0.04966329966329974
2020-07-20,2,3,0.0161039059774915,
2020-07-21,0,1,0.0060380623578283,
2020-07-21,1,2,0.0038783749684734,-0.019246190858059342
2020-07-21,2,3,-0.0240255142145987,
2020-07-22,0,1,0.0110352159505803,
2020-07-22,1,2,0.0032684874488599,-0.006541291905151292
2020-07-22,2,3,-0.0103028685043218,
2020-07-23,0,1,-0.0272982122315777,
2020-07-23,1,2,-0.031057436254239,-0.03292181069958855
2020-07-23,2,3,-0.0390168642661653,
2020-07-24,0,1,-0.0390869339298963,
2020-07-24,1,2,-0.0390869339298963,-0.04340425531914893
2020-07-24,2,3,-0.0390869339298963,
2020-07-27,0,1,0.0020558329095529,
2020-07-27,1,2,-0.0094651711478953,-0.02313167259786475
2020-07-27,2,3,-0.0358862130779727,
2020-07-28,0,1,0.0110666666659517,
2020-07-28,1,2,0.0032358342244928,0.009107468123861429
2020-07-28,2,3,0.0030209661996625,
2020-07-29,0,1,0.0392845279902806,
2020-07-29,1,2,0.0192149978784718,0.018050541516245522
2020-07-29,2,3,0.0163671927101242,
2020-07-30,0,1,-0.0118184212548991,
2020-07-30,1,2,-0.0120365336261674,-0.01507092198581561
2020-07-30,2,3,-0.039587683041458,
2020-07-31,0,1,0.0140351876500186,
2020-07-31,1,2,-0.0024035314505104,-0.0027002700270026825
2020-07-31,2,3,-0.0080278247014834,
2020-08-03,0,1,0.0398631680849921,
2020-08-03,1,2,0.0314130224094145,0.022563176895306958
2020-08-03,2,3,0.0050857755584806,
2020-08-04,0,1,0.0401109584867691,
2020-08-04,1,2,0.0401109584867691,0.03971756398940851
2020-08-04,2,3,-0.0107972410161988,
2020-08-05,0,1,0.0005305740514105,
2020-08-05,1,2,-0.0123950255125316,-0.02376910016977929
2020-08-05,2,3,-0.0366491804621614,
2020-08-06,0,1,0.0402272837278493,
2020-08-06,1,2,0.0155183453384651,0.012173913043478368
2020-08-06,2,3,0.0026610577351012,
2020-08-07,0,1,-0.0121808942951908,
2020-08-07,1,2,-0.0125296057871967,-0.01718213058419249
2020-08-07,2,3,-0.0132645713561412,
2020-08-10,0,1,0.0240184426968811,
2020-08-10,1,2,0.0145446840870334,0.021853146853146876
2020-08-10,2,3,0.0025083269542983,
2020-08-11,0,1,0.0167990486848033,
2020-08-11,1,2,-0.0083849503730288,0.015397775876817787
2020-08-11,2,3,-0.0398762823465062,
2020-08-12,0,1,0.0201633899893239,
2020-08-12,1,2,0.0141847059860101,0.021061499578769904
2020-08-12,2,3,-0.0123743073890277,
2020-08-13,0,1,0.005206744967566,
2020-08-13,1,2,-0.0080546774510077,-0.01650165016501648
2020-08-13,2,3,-0.0129391745419326,
2020-08-14,0,1,0.0417579740934353,
2020-08-14,1,2,0.0329710721398406,0.02432885906040272
2020-08-14,2,3,0.0122092455748098,
2020-08-17,0,1,0.0420237688032753,
2020-08-17,1,2,0.0419250941396362,0.05896805896805879
2020-08-17,2,3,0.0163105641495004,
2020-08-18,0,1,-0.0033414650219143,
2020-08-18,1,2,-0.0122764241979529,-0.0030935808197988246
2020-08-18,2,3,-0.0128854845767781,
2020-08-19,0,1,-0.004170542880102,
2020-08-19,1,2,-0.0127860217248746,-0.0038789759503491394
2020-08-19,2,3,-0.0141933903542541,
2020-08-20,0,1,-0.0129621853301279,
2020-08-20,1,2,-0.0129621853301279,-0.03971962616822433
2020-08-20,2,3,-0.039983847678793,
2020-08-21,0,1,0.0425855604982566,
2020-08-21,1,2,0.0027899979042482,-0.011354420113544261
2020-08-21,2,3,-0.0124847574769954,
2020-08-24,0,1,0.0020541394032636,
2020-08-24,1,2,-0.0052231693584688,0.0008203445447088065
2020-08-24,2,3,-0.0136264005948156,
2020-08-25,0,1,0.0146490082942158,
2020-08-25,1,2,-0.0001406827811949,0.011475409836065653
2020-08-25,2,3,-0.0023794655533358,
2020-08-26,0,1,-0.0114771112716845,
2020-08-26,1,2,-0.0140193325468691,-0.018638573743922193
2020-08-26,2,3,-0.0401116478807945,
2020-08-27,0,1,0.0081025454563592,
2020-08-27,1,2,0.0019825849176807,0.007431874483897705
2020-08-27,2,3,-0.0021688401424757,
2020-08-28,0,1,0.042738740231915,
2020-08-28,1,2,0.0152037202702498,0.05491803278688523
2020-08-28,2,3,0.0077451135949515,
2020-08-31,0,1,0.0035243460274991,
2020-08-31,1,2,-0.0034396988978834,-0.0038850038850037905
2020-08-31,2,3,-0.0132205081022458,
2020-09-01,0,1,0.0185758979879149,
2020-09-01,1,2,0.0036980247454678,0.004680187207488418
2020-09-01,2,3,-0.010143571366715,
2020-09-02,0,1,0.0168759479978847,
2020-09-02,1,2,-0.0050276494943694,0.013975155279503104
2020-09-02,2,3,-0.0136707802637868,
2020-09-03,0,1,-0.0086150901894639,
2020-09-03,1,2,-0.0387271434302136,-0.03215926493108723
2020-09-03,2,3,-0.0401493733988918,
2020-09-04,0,1,0.0041830674830281,
2020-09-04,1,2,-0.0059260596279351,0.004746835443037778
2020-09-04,2,3,-0.0068303241000169,
2020-09-07,0,1,-0.0008383782265491,
2020-09-07,1,2,-0.0081603645480179,-0.0015748031496062298
2020-09-07,2,3,-0.0387786341607541,
2020-09-08,0,1,0.0430432560395056,
2020-09-08,1,2,0.0093146794130696,0.03864353312302837
2020-09-08,2,3,0.0043328644137184,
2020-09-09,0,1,-0.0049052597570755,
2020-09-09,1,2,-0.0144538157373185,-0.016704631738800324
2020-09-09,2,3,-0.0400986784969774,
2020-09-10,0,1,0.0124859881205242,
2020-09-10,1,2,-0.0060228109444722,0.010038610038610063
2020-09-10,2,3,-0.0098399512053991,
2020-09-11,0,1,0.0037270480751327,
2020-09-11,1,2,-0.0046943852961295,-0.025229357798165153
2020-09-11,2,3,-0.0374019321149277,
2020-09-14,0,1,0.020566452355337,
2020-09-14,1,2,0.0113726598517478,0.02274509803921565
2020-09-14,2,3,-0.0025917295151625,
2020-09-15,0,1,0.0031114165009412,
2020-09-15,1,2,0.0019744129461084,0.0038343558282210033
2020-09-15,2,3,-0.0045404067915277,
2020-09-16,0,1,0.0058773817795281,
2020-09-16,1,2,0.0019325749961928,0.006875477463712754
2020-09-16,2,3,0.0006735617559875,
2020-09-17,0,1,0.0118082967382162,
2020-09-17,1,2,-0.0029437684961411,0.009863429438543347
2020-09-17,2,3,-0.00372054507568,
2020-09-18,0,1,0.0431000952521254,
2020-09-18,1,2,0.0174519777944842,0.037565740045078844
2020-09-18,2,3,0.0167649948642813,
2020-09-21,0,1,0.0063398295461436,
2020-09-21,1,2,-0.0140103684260704,-0.01520637219406229
2020-09-21,2,3,-0.0146201956949228,
2020-09-22,0,1,-0.015313496437393,
2020-09-22,1,2,-0.0196656443038297,-0.02132352941176463
2020-09-22,2,3,-0.0305139335945872,
2020-09-23,0,1,0.003957942107882,
