trade_date,strategy_ret,market_ret,n_trades,hit_ratio
2020-06-23,-0.006201554916702934,0.0022736863387615713,3,0.0
2020-06-24,0.0235820108248271,0.022209842283831216,3,1.0
2020-06-29,-0.0048538131881924835,-0.00443702614926425,3,0.0
2020-06-30,0.012028859184632479,0.014708352860133056,3,0.6666666666666666
2020-07-01,0.014853051783007701,0.0028445255528123936,3,0.6666666666666666
2020-07-06,0.08995621860563079,0.08531531303505913,3,1.0
2020-07-07,0.0005177653442417496,0.029416411915103385,3,0.3333333333333333
2020-07-08,0.012543803136667808,0.01230350361079291,3,1.0
2020-07-09,0.0012624187643300866,0.011720208473164268,3,0.3333333333333333
2020-07-10,-0.04071414768872424,-0.03208236258771868,3,0.0
2020-07-13,0.006702118562599502,0.033217170305622656,3,1.0
2020-07-14,-0.02944148012807768,-0.03232294370010083,3,0.0
2020-07-15,-0.02787517613793289,-0.0325501532739427,3,0.0
2020-07-16,-0.018003979108181894,-0.027565946928590296,3,0.3333333333333333
2020-07-17,0.004335525936243719,0.0016830990166500082,3,0.6666666666666666
2020-07-20,0.030921749824156814,0.03723950767486284,3,1.0
2020-07-21,-0.0037000892281302913,-0.00043372986819348314,3,0.6666666666666666
2020-07-22,0.0010499835180703225,0.0020213243772754796,3,0.6666666666666666
2020-07-23,-0.024619101405482624,-0.010827551670456126,3,0.0
2020-07-24,-0.041846433833046315,-0.050995004558925056,3,0.0
2020-07-27,-0.009675966337653072,-0.01785786419371968,3,0.0
2020-07-28,0.004298124840556472,0.01256585521374165,3,1.0
2020-07-29,0.021673362176706457,0.02588542246542941,3,1.0
2020-07-30,-0.017781343775355524,-0.011706935149812386,3,0.0
2020-07-31,0.0011724765830657402,0.010291708034908892,3,0.3333333333333333
2020-08-03,0.019957626491808506,0.019551633191951023,3,1.0
2020-08-04,0.020565496827733676,0.00899090554096238,3,0.6666666666666666
2020-08-05,-0.014109017038567115,-0.011041321602454746,3,0.0
2020-08-06,0.016423783567535526,0.01386867609767356,3,1.0
2020-08-07,-0.01581958157562195,-0.0214976695166553,3,0.0
2020-08-10,0.011442003966010805,0.003546937299725994,3,1.0
2020-08-11,-0.00828882082179013,-0.00941191213985998,3,0.3333333333333333
2020-08-12,0.006851202493357837,0.0012544039414839336,3,0.6666666666666666
2020-08-13,-0.005290714984722111,-0.003573507043381108,3,0.3333333333333333
2020-08-14,0.028350879032494374,0.02764446179537916,3,1.0
2020-08-17,0.03413361222174527,0.02027397747523038,3,1.0
2020-08-18,-0.010295004468022858,-0.003875099504863311,3,0.0
2020-08-19,-0.011890348988389587,-0.02193054261121591,3,0.0
2020-08-20,-0.021779004563324784,-0.01899816556775835,3,0.0
2020-08-21,0.010804260894916965,0.013928011585024436,3,0.6666666666666666
2020-08-24,-0.006687234326116768,0.009564103844071026,3,0.3333333333333333
2020-08-25,0.00254808225232069,-0.0010319056336740573,3,0.3333333333333333
2020-08-26,-0.018228209727719585,-0.021552652469336603,3,0.0
2020-08-27,0.002781455499864194,0.01761996926247633,3,0.6666666666666666
2020-08-28,0.02512156161436141,0.023483279626464404,3,1.0
2020-08-31,-0.0036725142358944676,-0.0054006661826544455,3,0.3333333333333333
2020-09-01,0.004810272084835643,0.014479422736236952,3,0.6666666666666666
2020-09-02,-0.0014100923587081482,-0.00492599531801538,3,0.3333333333333333
2020-09-03,-0.02148692702179041,-0.018019543930888143,3,0.0
2020-09-04,-0.002730213606540577,-0.00965065282052921,3,0.3333333333333333
2020-09-07,-0.011506124458984099,-0.033481782942394206,3,0.0
2020-09-08,0.01735426200941063,0.013794599366744209,3,1.0
2020-09-09,-0.021011805209384542,-0.019752198332995186,3,0.0
2020-09-10,-0.00173432983015324,-0.0002862056073122399,3,0.3333333333333333
2020-09-11,-0.00869813063829187,-0.0028747824403782263,3,0.3333333333333333
2020-09-14,0.009972083909964588,0.01588893346472972,3,0.6666666666666666
2020-09-15,0.00028078028646301895,0.003074304302739389,3,0.6666666666666666
2020-09-16,0.0027749176086771707,-0.001517457009410833,3,0.6666666666666666
2020-09-17,0.0010603982149586615,0.009950152613109026,3,0.3333333333333333
2020-09-18,0.022297351260679592,0.016205039758572987,3,1.0
2020-09-21,-0.006948436243075025,-0.005367041912919784,3,0.3333333333333333
2020-09-22,-0.020965044525994014,-0.012010269319498085,3,0.0
2020-09-23,-0.001310332061754978,-0.005946925095446226,3,0.6666666666666666
2020-09-24,-0.023679514862268564,-0.026740421443276235,3,0.0
2020-09-25,0.0011809758975579454,0.0019147613859067658,3,0.6666666666666666
2020-09-28,-0.001967803621471642,0.000627707154446433,3,0.3333333333333333
2020-09-29,-0.009971953445406282,0.010492793580900328,3,0.3333333333333333
2020-09-30,0.005891179252972963,0.010231757693222737,3,0.3333333333333333
2020-10-09,0.0141734922317062,0.03186780570455111,3,1.0
2020-10-12,0.031589502500715204,0.03607526243828363,3,1.0
2020-10-13,0.006894284109404292,0.00621996361738511,3,0.6666666666666666
2020-10-14,-0.00328932032509599,-0.0005265262383631064,3,0.0
2020-10-15,0.011386541680483697,0.010063393353041572,3,0.6666666666666666
2020-10-16,0.014752749466845275,-0.0012177631291080682,3,0.6666666666666666
2020-10-19,0.002966386542750129,0.003839405495844328,3,0.3333333333333333
2020-10-20,0.0005898460439836736,0.015320197472509539,3,0.6666666666666666
2020-10-21,0.005400134269227734,-0.006631887184912366,3,0.6666666666666666
2020-10-22,-0.009797665438381639,-0.00788993741298627,3,0.0
2020-10-23,0.014677632602531595,0.0027132535494406307,3,1.0
