trade_date,code,ret
2020-06-23,1.0,-0.003853564547206201
2020-06-23,2230.0,-0.006012024048096198
2020-06-23,600000.0,-0.008739076154806402
2020-06-24,1.0,0.01934235976789167
2020-06-24,2230.0,0.03629032258064502
2020-06-24,600000.0,0.015113350125944613
2020-06-29,1.0,0.0
2020-06-29,2230.0,-0.010839355197331701
2020-06-29,600000.0,-0.003722084367245748
2020-06-30,1.0,0.0
2020-06-30,2230.0,0.03484124754144413
2020-06-30,600000.0,0.001245330012453305
2020-07-01,1.0,0.030360531309297834
2020-07-01,2230.0,-0.005701873472712449
2020-07-01,600000.0,0.01990049751243772
2020-07-06,1.0,0.11926605504587151
2020-07-06,2230.0,0.033839594990674016
2020-07-06,600000.0,0.11676300578034682
2020-07-07,1.0,-0.014903129657227954
2020-07-07,2230.0,0.025773195876288568
2020-07-07,600000.0,-0.009316770186335366
2020-07-08,1.0,0.021180030257186067
2020-07-08,2230.0,0.013316582914572939
2020-07-08,600000.0,0.0031347962382444194
2020-07-09,1.0,-0.017037037037037073
2020-07-09,2230.0,0.03644929333002733
2020-07-09,600000.0,-0.015625
2020-07-10,1.0,-0.05048982667671442
2020-07-10,2230.0,-0.030382775119617178
2020-07-10,600000.0,-0.04126984126984112
2020-07-13,1.0,0.0023809523809523725
2020-07-13,2230.0,0.01110288675055493
2020-07-13,600000.0,0.0066225165562912025
2020-07-14,1.0,-0.016627078384798155
2020-07-14,2230.0,-0.040995607613469986
2020-07-14,600000.0,-0.030701754385964897
2020-07-15,1.0,-0.03301127214170696
2020-07-15,2230.0,-0.027989821882951516
2020-07-15,600000.0,-0.02262443438914019
2020-07-16,1.0,-0.009991673605328821
2020-07-16,2230.0,-0.046335078534031515
2020-07-16,600000.0,0.0023148148148146586
2020-07-17,1.0,-0.000841042893187538
2020-07-17,2230.0,0.005764479824320601
2020-07-17,600000.0,0.008083140877598094
2020-07-20,1.0,0.04966329966329974
2020-07-20,2230.0,0.014465065502183405
2020-07-20,600000.0,0.028636884306987298
2020-07-21,1.0,-0.019246190858059342
2020-07-21,2230.0,0.005918751681463608
2020-07-21,600000.0,0.00222717149220486
2020-07-22,1.0,-0.006541291905151292
2020-07-22,2230.0,0.0008023535704733131
2020-07-22,600000.0,0.008888888888888946
2020-07-23,1.0,-0.03292181069958855
2020-07-23,2230.0,-0.021111704970603884
2020-07-23,600000.0,-0.01982378854625544
2020-07-24,1.0,-0.04340425531914893
2020-07-24,2230.0,-0.034944034944034974
2020-07-24,600000.0,-0.04719101123595504
2020-07-27,1.0,-0.02313167259786475
2020-07-27,2230.0,0.0
2020-07-27,600000.0,-0.005896226415094463
2020-07-28,1.0,0.009107468123861429
2020-07-28,2230.0,0.0014144271570013522
2020-07-28,600000.0,0.0023724792408066353
2020-07-29,1.0,0.018050541516245522
2020-07-29,2230.0,0.03276836158192098
2020-07-29,600000.0,0.014201183431952868
2020-07-30,1.0,-0.01507092198581561
2020-07-30,2230.0,-0.025437636761487914
2020-07-30,600000.0,-0.012835472578763052
2020-07-31,1.0,-0.0027002700270026825
2020-07-31,2230.0,0.010945832163906877
2020-07-31,600000.0,-0.004728132387706974
2020-08-03,1.0,0.022563176895306958
2020-08-03,2230.0,0.0313714602998334
2020-08-03,600000.0,0.005938242280285166
2020-08-04,1.0,0.03971756398940851
2020-08-04,2230.0,-0.0075370121130552414
2020-08-04,600000.0,0.029515938606847758
2020-08-05,1.0,-0.02376910016977929
2020-08-05,2230.0,-0.0013561160835366959
2020-08-05,600000.0,-0.017201834862385357
2020-08-06,1.0,0.012173913043478368
2020-08-06,2230.0,0.03476371537208034
2020-08-06,600000.0,0.002333722287047868
2020-08-07,1.0,-0.01718213058419249
2020-08-07,2230.0,-0.01863517060367459
2020-08-07,600000.0,-0.011641443538998764
2020-08-10,1.0,0.021853146853146876
2020-08-10,2230.0,0.0018721583311045453
2020-08-10,600000.0,0.010600706713780994
2020-08-11,1.0,0.015397775876817787
2020-08-11,2230.0,-0.03443673251468227
2020-08-11,600000.0,-0.005827505827505908
2020-08-12,1.0,0.021061499578769904
2020-08-12,2230.0,-0.011058888581697457
2020-08-12,600000.0,0.010550996483001063
2020-08-13,1.0,-0.01650165016501648
2020-08-13,2230.0,0.006429969247973011
2020-08-13,600000.0,-0.0058004640371228655
2020-08-14,1.0,0.02432885906040272
2020-08-14,2230.0,0.05138888888888893
2020-08-14,600000.0,0.009334889148191472
2020-08-17,1.0,0.05896805896805879
2020-08-17,2230.0,0.014531043593130732
2020-08-17,600000.0,0.028901734104046284
2020-08-18,1.0,-0.0030935808197988246
2020-08-18,2230.0,-0.010937500000000044
2020-08-18,600000.0,-0.016853932584269704
2020-08-19,1.0,-0.0038789759503491394
2020-08-19,2230.0,-0.019220642443391167
2020-08-19,600000.0,-0.012571428571428456
2020-08-20,1.0,-0.03971962616822433
2020-08-20,2230.0,-0.012885906040268402
2020-08-20,600000.0,-0.012731481481481621
2020-08-21,1.0,-0.011354420113544261
2020-08-21,2230.0,0.04025020397062806
2020-08-21,600000.0,0.003516998827667095
2020-08-24,1.0,0.0008203445447088065
2020-08-24,2230.0,-0.016209150326797372
2020-08-24,600000.0,-0.004672897196261738
2020-08-25,1.0,0.011475409836065653
2020-08-25,2230.0,-0.0026574541589158285
2020-08-25,600000.0,-0.0011737089201877549
2020-08-26,1.0,-0.018638573743922193
2020-08-26,2230.0,-0.026645350386357625
2020-08-26,600000.0,-0.009400705052878933
2020-08-27,1.0,0.007431874483897705
2020-08-27,2230.0,0.003284971256501512
