date,ret,n_trades,cash_weight,n_signals,equity
2020-07-02,-0.005309624471524484,1,0.65,1,0.9946903755284755
2020-07-03,0.0009722222222221949,1,0.65,1,0.9956574356157948
2020-07-10,-0.031944444444444386,2,0.30000000000000004,3,0.9638517119780681
2020-07-13,0.0031512141280352246,2,0.30000000000000004,2,0.9668890151101843
2020-07-14,-0.016565091469767014,2,0.30000000000000004,3,0.9508724101337711
2020-07-15,-0.019472497285796447,2,0.30000000000000004,3,0.9323565497083025
2020-07-16,-0.019714363248776103,2,0.30000000000000004,3,0.9139757340099774
2020-07-17,0.0017232029258965847,2,0.30000000000000004,3,0.915550699669022
2020-07-20,0.005062772925764189,1,0.65,1,0.9201859249634708
2020-07-21,-0.004664603711808496,2,0.30000000000000004,3,0.9158936222823323
2020-07-22,-0.002008628417137265,2,0.30000000000000004,3,0.9140539323255412
2020-07-23,-0.018460959736045363,2,0.30000000000000004,3,0.8971796194843055
2020-07-24,-0.03170834329428636,2,0.30000000000000004,3,0.8687315401130599
2020-07-27,-0.010159764654535684,2,0.30000000000000004,3,0.8599054321175388
2020-07-28,0.0040179815776338,2,0.30000000000000004,3,0.8633605163022943
2020-07-29,0.011288103731869406,2,0.30000000000000004,2,0.873106219368315
2020-07-30,-0.014177995561556224,2,0.30000000000000004,3,0.860727323265344
2020-07-31,-0.002599940845148325,2,0.30000000000000004,3,0.8584894831410512
2020-08-03,0.0020783847980997846,1,0.65,1,0.8602737546321402
2020-08-04,-0.0026379542395693198,1,0.65,1,0.8580043918339181
2020-08-05,-0.014339827261257574,2,0.30000000000000004,3,0.8457007570656193
2020-08-06,0.005077672365684134,2,0.30000000000000004,2,0.8499949484294097
2020-08-07,-0.012536055415753413,2,0.30000000000000004,3,0.8393393646527881
2020-08-10,0.008303856814487955,2,0.30000000000000004,2,0.8463091185556282
2020-08-11,-0.006663634823252574,2,0.30000000000000004,3,0.8406696236419847
2020-08-12,-0.00387061100359409,1,0.65,1,0.8374157185463288
2020-08-13,-0.0035250883209651898,2,0.30000000000000004,3,0.8344637541770884
2020-08-17,0.005085865257595744,1,0.65,1,0.8387077243931806
2020-08-18,-0.009727001404494394,2,0.30000000000000004,2,0.8305496131800479
2020-08-19,-0.011127224855186826,2,0.30000000000000004,2,0.8213079008808051
2020-08-20,-0.018411936272972444,2,0.30000000000000004,3,0.806186032149299
2020-08-21,-0.00397404703974047,1,0.65,1,0.802982210934756
2020-08-24,-0.005386082023730974,2,0.30000000000000004,3,0.7986572828830646
2020-08-25,-0.0013409070776862248,2,0.30000000000000004,2,0.797586357679801
2020-08-26,-0.015849373445597895,2,0.30000000000000004,3,0.7849451136418196
2020-08-27,0.0011497399397755249,1,0.65,1,0.7858475963895053
2020-08-28,0.002578444747612545,1,0.65,1,0.7878738609968398
2020-08-31,-0.0024963885879378594,2,0.30000000000000004,2,0.7859070216815127
2020-09-01,0.0034127201664564755,2,0.30000000000000004,2,0.7885891024233649
2020-09-02,-0.006371901324469589,2,0.30000000000000004,2,0.7835642904771711
2020-09-03,-0.02001272968355948,2,0.30000000000000004,3,0.7678830301421614
2020-09-04,-0.0007273599836891849,2,0.30000000000000004,3,0.767324502753882
2020-09-07,-0.00949840485167497,2,0.30000000000000004,3,0.7600361439741155
2020-09-08,0.0029619181946402996,1,0.65,1,0.7622873088575366
2020-09-09,-0.020336131598090557,2,0.30000000000000004,2,0.7467853338290554
2020-09-10,-0.00316603443244823,1,0.65,1,0.7444209857485053
2020-09-11,-0.0073874012599820646,2,0.30000000000000004,2,0.7389216492204298
2020-09-14,0.003387096774193475,1,0.65,1,0.7414244483548861
2020-09-15,0.002053613270635395,2,0.30000000000000004,2,0.7429470474412012
2020-09-16,0.000507246376811545,1,0.65,1,0.7433239046391786
2020-09-17,-0.001013024602025975,1,0.65,1,0.7425708992365051
2020-09-21,-0.00532223026792177,1,0.65,1,0.7386187659205107
2020-09-22,-0.015810765106724033,2,0.30000000000000004,3,0.726940638109123
2020-09-23,0.00020360674810934498,1,0.65,1,0.7270886481285169
2020-09-24,-0.018946715572872183,2,0.30000000000000004,3,0.7133127063161617
2020-09-25,0.00262891358132466,2,0.30000000000000004,3,0.7151879437775277
2020-09-28,-0.0016013863656261797,2,0.30000000000000004,3,0.7140426515555021
2020-09-29,-0.009074274521931918,2,0.30000000000000004,2,0.7075632325149193
2020-09-30,0.00805489709412626,2,0.30000000000000004,2,0.7132625815404143
2020-10-09,0.00027110766847402,1,0.65,1,0.7134559524959055
2020-10-16,-0.00228368794326239,1,0.65,1,0.7118266417391419
2020-10-19,-0.002698458023986305,1,0.65,1,0.7099058074260537
2020-10-20,0.0024172661870503647,1,0.65,1,0.7116218387303354
2020-10-21,-0.00830237210631612,1,0.65,1,0.7057136894262153
