trading_date,code,close,amount,score_prob,rank,weight,stop_loss,take_profit
2025-10-31,600000,11.49,1657883721.0,0.9999596332604215,1,0.3,0.05,0.08
2025-10-31,2230,55.6,4735820622.79,0.9900253105393825,2,0.3,0.05,0.08
2025-10-31,1,11.32,1099179193.25,0.7771901171250992,3,0.3,0.05,0.08
